Index,Time,Time_Diff,Output
144,1.00989,0.00224962,-0.105539
145,1.01209,0.00219876,-0.0815082
146,1.01429,0.00219819,-0.0593733
147,1.01669,0.00240272,-0.0235172
148,1.01897,0.00228112,-0.0163361
149,1.0212,0.00222858,-0.0059549
150,1.02329,0.00208915,-0.0592972
151,1.02539,0.00209891,-0.0564407
152,1.02767,0.002277,-0.0365405
153,1.02984,0.00217176,-0.0278358
154,1.03206,0.00222405,-0.0490078
155,1.03424,0.00217322,-0.0768374
156,1.03645,0.00221706,-0.0805796
157,1.03866,0.00220652,-0.0162867
158,1.04083,0.00217228,-0.00690813
159,1.04304,0.00220982,-0.00568053
160,1.04516,0.00211962,-0.014074
161,1.04733,0.00217032,-0.00796631
162,1.04949,0.00215604,-0.040765
163,1.0518,0.00231284,-0.0521031
164,1.05399,0.00218903,-0.0236133
165,1.05624,0.00224982,-0.0125198
166,1.0584,0.00215967,0.00110175
167,1.06067,0.0022695,0.0079971
168,1.063,0.00233257,0.0043534
169,1.06519,0.00218892,0.00652876
170,1.06739,0.00220171,0.0187385
171,1.06954,0.0021454,0.0436772
172,1.07177,0.00223385,0.0426609
173,1.07402,0.00225204,0.0581197
174,1.07604,0.00201213,0.0381102
175,1.0782,0.00215902,0.0299217
176,1.08041,0.00221461,0.000694111
177,1.08277,0.00236136,-0.00571172
178,1.08501,0.00223783,0.0131933
179,1.08714,0.0021286,0.00574979
180,1.08926,0.00211767,0.0106252
181,1.09149,0.00223309,0.0251269
182,1.0936,0.00210904,0.023552
183,1.0958,0.00220079,0.0150667
184,1.09794,0.0021464,0.0489995
185,1.10002,0.00207703,0.0332222
186,1.10229,0.00227268,-0.0139444
187,1.10454,0.00224595,-0.00993558
188,1.10671,0.0021746,-0.0120202
189,1.10877,0.00205415,-0.0313171
190,1.11088,0.0021142,-0.00526083
191,1.11304,0.00215229,0.00109636
192,1.11537,0.00233826,0.0133025
193,1.11778,0.00240631,0.0685521
194,1.12011,0.00232576,0.0522204
195,1.12232,0.00221248,0.032497
196,1.12445,0.00213118,0.0635676
197,1.1266,0.002154,0.0656863
198,1.12885,0.0022462,0.0922446
199,1.13101,0.00216061,0.0981638
200,1.13314,0.00213098,0.0931474
201,1.13532,0.0021773,0.121171
202,1.13749,0.00216699,0.0500489
203,1.13961,0.00212759,-0.00399875
204,1.14178,0.0021676,-0.00353143
205,1.14396,0.00218314,-0.00592547
206,1.14608,0.00211473,-0.00903468
207,1.14829,0.00221623,0.00128566
208,1.15059,0.00229562,0.00541692
209,1.15285,0.00225579,0.000878438
210,1.15501,0.00216301,-0.0169528
211,1.15724,0.00223571,-0.0319482
212,1.15936,0.002116,0.00881059
213,1.16148,0.00211417,0.00874599
214,1.16359,0.00211172,-0.0189847
215,1.16585,0.00226647,-0.0833289
216,1.16796,0.00210387,-0.0523217
217,1.17018,0.00222371,-0.00931545
218,1.17256,0.00237623,0.0157015
219,1.17474,0.0021808,0.0341
220,1.17691,0.00217595,0.0395259
221,1.17913,0.00221184,0.0388958
222,1.18137,0.00224644,0.0531362
223,1.18359,0.00221955,0.0412113
224,1.18568,0.00208878,0.0343661
225,1.18783,0.0021465,0.0220361
226,1.19006,0.00223501,0.0282354
227,1.19221,0.00214735,0.0211873
228,1.19437,0.0021647,0.0120869
229,1.19653,0.00215933,0.0206591
230,1.19877,0.00223281,0.0165979
231,1.20093,0.00216147,0.025414
232,1.20309,0.00216296,0.0279968
233,1.20532,0.00223289,0.0175882
234,1.20751,0.00218432,0.0306539
235,1.20964,0.00212763,0.0827761
236,1.21185,0.00221701,0.0657958
237,1.21402,0.00216641,0.0453632
238,1.21621,0.00219445,0.0587457
239,1.21836,0.00214446,0.0611891
240,1.22055,0.0021895,0.0888442
241,1.22272,0.00217556,0.118741
242,1.22507,0.00234915,0.111168
243,1.22723,0.00216255,0.0866266
244,1.22937,0.00213949,-0.00627931
245,1.2314,0.00202419,0.140972
246,1.2335,0.00209864,0.203923
247,1.23568,0.00218086,0.0385232
248,1.23778,0.00209747,0.105154
249,1.23995,0.00217767,0.0923734
250,1.24228,0.00232317,0.172405
251,1.24449,0.00221894,0.0792778
252,1.24666,0.00216401,0.182051
253,1.24879,0.00213316,0.0814228
254,1.25101,0.00221313,0.108778
255,1.25316,0.00215156,0.118326
256,1.25542,0.00226179,0.165308
257,1.25758,0.0021612,0.183009
258,1.25969,0.00211081,0.205323
259,1.26196,0.00227277,0.667236
260,1.26419,0.00223041,1.88195
261,1.26633,0.00214093,2.13866
262,1.26848,0.00214381,2.53641
263,1.27071,0.00223494,2.61031
264,1.27315,0.00243551,2.70775
265,1.27534,0.00218634,2.79172
266,1.27761,0.00227537,2.82827
267,1.27973,0.00212104,2.83685
268,1.28192,0.00219239,2.8816
269,1.2841,0.00217701,2.90686
270,1.28651,0.00240754,2.91389
271,1.28869,0.00218287,2.93042
272,1.29098,0.00228921,2.93471
273,1.29321,0.00223171,2.93712
274,1.29551,0.0023021,2.95284
275,1.29763,0.00211356,2.9799
276,1.29971,0.00208047,2.99266
277,1.30201,0.00230577,2.98278
278,1.30424,0.00222435,2.93307
279,1.30638,0.00214175,2.92259
280,1.30851,0.00212849,2.97335
281,1.31071,0.00220022,3.00155
282,1.31301,0.00230066,2.99226
283,1.31529,0.00227609,2.98996
284,1.31743,0.00214842,2.98427
285,1.31973,0.00229634,2.99646
286,1.32206,0.0023326,2.99856
287,1.32422,0.00215289,2.99858
288,1.32643,0.00220979,2.99456
289,1.3286,0.00217695,3.00497
290,1.33084,0.00223608,3.01643
291,1.33296,0.00211974,3.02088
292,1.33517,0.00221173,3.01142
293,1.33736,0.00218658,3.00365
294,1.33951,0.00214979,2.99974
295,1.34174,0.00222887,2.99831
296,1.34385,0.00211512,2.99469
297,1.34605,0.0022014,2.98357
298,1.34826,0.0022127,2.98399
299,1.35038,0.00211252,2.97629
300,1.35259,0.00220844,2.97992
301,1.35467,0.00208111,2.97604
302,1.35682,0.00215025,2.9632
303,1.359,0.00218425,2.94936
304,1.36117,0.00217078,2.9291
305,1.36325,0.00207778,2.90205
306,1.36542,0.0021748,2.87593
307,1.36761,0.00218764,2.84163
308,1.36992,0.0023051,2.79534
309,1.37209,0.00216985,2.7903
310,1.37421,0.00212516,2.64471
311,1.37652,0.00230512,2.32488
312,1.37877,0.00225615,1.72093
313,1.38104,0.00227015,1.28848
314,1.38308,0.00203539,1.27914
315,1.38524,0.00215716,1.06766
316,1.38736,0.0021258,0.678765
317,1.38944,0.00208165,0.668274
318,1.39148,0.00203367,0.507132
319,1.39367,0.00219297,0.40728
320,1.39581,0.00213507,0.345494
321,1.39795,0.00214605,0.271529
322,1.4,0.00204922,0.25469
323,1.40219,0.00219022,0.211345
324,1.40429,0.00210136,0.158102
325,1.40651,0.00221949,0.107635
326,1.40892,0.00240975,0.0977593
327,1.41103,0.00211211,0.0995796
328,1.41324,0.00220723,0.0764164
329,1.41543,0.00218958,0.0743129
330,1.41759,0.00216354,0.0649472
331,1.41999,0.00239229,0.0712997
332,1.42225,0.0022632,0.0641096
333,1.4244,0.00215371,0.0565875
334,1.4267,0.00229678,0.0577425
335,1.42882,0.00212057,0.0469798
336,1.431,0.00218247,0.0387213
337,1.43323,0.00222306,0.0423715
338,1.43533,0.00210867,0.0401792
339,1.43754,0.00220976,0.0355378
340,1.4397,0.00215544,0.0297288
341,1.44192,0.0022188,0.0258318
342,1.44402,0.00210258,0.0187466
343,1.44618,0.0021596,0.0252363
344,1.44841,0.0022273,0.0349094
345,1.45072,0.0023158,0.0359729
346,1.45283,0.0021086,0.0292459
347,1.45514,0.00230286,0.0238672
348,1.45739,0.0022524,0.0128899
349,1.45971,0.00232294,0.0160686
350,1.46183,0.00211675,0.00704134
351,1.46397,0.00214091,0.00758711
352,1.46612,0.00214878,0.0101558
353,1.46831,0.00218757,0.00973104
354,1.4705,0.00219057,0.004073
355,1.47269,0.00219039,0.00421287
356,1.47481,0.00212817,-0.000573263
357,1.47697,0.00215858,-0.00592129
358,1.47914,0.00216299,-0.00693061
359,1.48141,0.00227493,-0.0156845
