Index,Time,Time_Diff,Output
-1,0,0,0
0,0.644155,0.644155,0.00136818
1,0.64511,0.000954644,0.00136818
2,0.646684,0.00157403,0.00136818
3,0.647529,0.000844799,0.00136818
4,0.64839,0.000860857,0.00136818
5,0.649217,0.000827571,0.00136818
6,0.650722,0.00150439,0.00136818
7,0.651473,0.000751523,0.00136818
8,0.652345,0.000872179,0.00136818
9,0.653186,0.000841103,0.00136818
10,0.655279,0.00209275,0.00136818
11,0.656037,0.000757483,0.00136818
12,0.65679,0.000753247,0.00136818
13,0.657524,0.000734139,0.00136818
14,0.658231,0.000706958,0.00136818
15,0.658885,0.000653779,0.00136818
16,0.65955,0.000664971,0.00136818
17,0.6602,0.000650503,0.00136818
18,0.660867,0.000667039,0.00136818
19,0.661517,0.000650146,0.00136818
20,0.662202,0.000684817,0.00136818
21,0.662845,0.000643109,0.00136818
22,0.663473,0.000627117,0.00136818
23,0.664141,0.000668907,0.00136818
24,0.664854,0.000712144,0.00136818
25,0.665653,0.000799358,0.00136818
26,0.666346,0.000693292,0.00136818
27,0.667108,0.00076226,0.00136818
28,0.667744,0.000636001,0.00136818
29,0.668405,0.000660164,0.00136818
30,0.669114,0.00070972,0.00136818
31,0.669725,0.000611109,0.00136818
32,0.670422,0.000696968,0.00136818
33,0.671113,0.000690671,0.00136818
34,0.671886,0.000772673,0.00136818
35,0.672633,0.000747278,0.00136818
36,0.673348,0.000715308,0.00136818
37,0.674097,0.000748525,0.00136818
38,0.674814,0.000716616,0.00136818
39,0.675514,0.000700392,0.00136818
40,0.676189,0.000674866,0.00136818
41,0.676922,0.000732889,0.00136818
42,0.677691,0.000769098,0.00136818
43,0.67842,0.000728866,0.00136818
44,0.679056,0.00063609,0.00136818
45,0.679699,0.00064358,0.00136818
46,0.680321,0.00062131,0.00136818
47,0.680907,0.000586766,0.00136818
48,0.681497,0.000589207,0.00136818
49,0.68227,0.000773405,0.00136818
50,0.683098,0.000828051,0.00136818
51,0.683763,0.000664486,0.00136818
52,0.684392,0.000629251,0.00136818
53,0.684993,0.000601141,0.00136818
54,0.685583,0.000590368,0.00136818
55,0.686213,0.000629729,0.00136818
56,0.686824,0.000611402,0.00136818
57,0.687474,0.000649747,0.00136818
58,0.688108,0.0006336,0.00136818
59,0.688813,0.000705618,0.00136818
60,0.689431,0.000617921,0.00136818
61,0.69002,0.000588586,0.00136818
62,0.690643,0.000623287,0.00136818
63,0.691286,0.000642345,0.00136818
64,0.691892,0.000606145,0.00136818
65,0.692512,0.000620104,0.00136818
66,0.693177,0.000665101,0.00136818
67,0.693812,0.000635351,0.00136818
68,0.694525,0.000712488,0.00136818
69,0.695191,0.000665941,0.00136818
70,0.695814,0.000623742,0.00136818
71,0.696418,0.00060338,0.00136818
72,0.697059,0.000641254,0.00136818
73,0.697686,0.000627218,0.00136818
74,0.698309,0.000623193,0.00136818
75,0.699015,0.000705216,0.00136818
76,0.699719,0.000703998,0.00136818
77,0.700346,0.000627729,0.00136818
78,0.700993,0.000647125,0.00136818
79,0.701649,0.000655548,0.00136818
80,0.702297,0.00064751,0.00136818
81,0.702952,0.000655009,0.00136818
82,0.703544,0.000592492,0.00136818
83,0.704198,0.000654221,0.00136818
84,0.70481,0.000611973,0.00136818
85,0.705458,0.000647666,0.00136818
86,0.706082,0.000624186,0.00136818
87,0.706723,0.000641219,0.00136818
88,0.707341,0.000617455,0.00136818
89,0.70798,0.000639275,0.00136818
90,0.708655,0.000674876,0.00136818
91,0.70929,0.000634663,0.00136818
92,0.70996,0.000670281,0.00136818
93,0.710615,0.000655053,0.00136818
94,0.711347,0.000732183,0.00136818
95,0.711977,0.000629781,0.00136818
96,0.712635,0.000657939,0.00136818
97,0.713239,0.000603982,0.00136818
98,0.713844,0.000605295,0.00136818
99,0.71445,0.000605435,0.00136818
100,0.715059,0.000609577,0.00136818
101,0.715704,0.000644503,0.00136818
102,0.716408,0.000703971,0.00136818
103,0.71703,0.000622044,0.00136818
104,0.717617,0.000587178,0.00136818
105,0.718222,0.00060523,0.00136818
106,0.718854,0.000631523,0.00136818
107,0.71948,0.00062664,0.00136818
108,0.720089,0.000609264,0.00136818
109,0.720741,0.000652039,0.00136818
110,0.721441,0.000699824,0.00136818
111,0.722111,0.000670093,0.00136818
112,0.722802,0.000690528,0.00136818
113,0.723443,0.000640741,0.00136818
114,0.72414,0.000697409,0.00136818
115,0.724769,0.000628494,0.00136818
116,0.725361,0.000592338,0.00136818
117,0.725956,0.000594894,0.00136818
118,0.726573,0.000617516,0.00136818
119,0.72724,0.000667114,0.00136818
120,0.727901,0.000660252,0.00136818
121,0.728565,0.000664485,0.00136818
122,0.729212,0.000646787,0.00136818
123,0.729917,0.000705511,0.00136818
124,0.730519,0.000601633,0.00136818
125,0.731256,0.00073735,0.00136818
126,0.731882,0.00062601,0.00136818
127,0.732559,0.000676663,0.00136818
128,0.733216,0.00065648,0.00136818
